id,Año,región,region_rec,Línea presupuestaria,Tipo de Entidad receptora,Tipo de institución,Nombre entidad receptora (ejecutora),id_instituciones,Ejecución (miles de $ de cada año),RH
765,2011,Antofagasta,2,"Concesión Colorado (Caracterización y tratamiento de aguas residuales de la producción de Dorado Seriola Lalandi, como medida de minimización del impacto ambiental para una industria naciente en la macro zona norte.",UNIVERSIDAD,Institución de Educación superior,Universidad de Antofagasta,116,140000,si
783,2012,Magallanes,13,Control Magallanes Sin Didymo: Monitoreos de Ríos y Lagos. (30127729-0),CENTRO I+D,Centro de Investigación Privado,Centro de Estudios del Cuaternario de Fuego-Patagonia y Antártica,70998,34145,si
847,2014,Coquimbo,4,"CORPORACIÓN REGIONAL DE DESARROLLO PRODUCTIVO-Estudio de modelos de gestión integrada de recursos hídricos para las cuencas de las provincias de Elqui, Limarí y Choapa.                                                                                  ",CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,102000,si
858,2015,Coquimbo,4,CORPORACION REGIONAL DE DESARROLLO PRODUCTIVO-Investigación soluciones innovadoras para el abastecimiento de agua (30378476-0)                                                                                                                            ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,40000,si
861,2014,Coquimbo,4,CORPORACION REGIONAL DESARROLLO PRODUCTIVA-Transferencia estudio cosecha de aguas lluvias en áreas de secano (30350380-0)                                                                                                                                 ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,21125,si
862,2015,Coquimbo,4,CORPORACION REGIONAL DESARROLLO PRODUCTIVA-Transferencia estudio cosecha de aguas lluvias en áreas de secano (30350380-0)                                                                                                                                 ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,63375,si
898,2014,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO.Transferencia tecnológica y fomento productivo en eficiencia hídrica y ERNC                                                                                                                                    ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,45000,si
899,2016,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Análisis Instituto Regional para la Gestión de Recursos Hídricos (30378472-0),CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,12500,si
917,2015,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Análisis Instituto Regional para la Gestión de Recursos Hídricos (30378472-0)                                                                                                                                  ,CORPORACIÓN,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,37500,si
974,2016,Coquimbo,4,CORPORACIÓN REGIONAL DESARROLLO PRODUCTIVO-Análisis modelación de embalses de precordillera (30378479-0) ,CORPORACIÓN ,ONG / Fundación,Corporación Regional de Desarrollo Productivo de Coquimbo (CRDP),70990,50000,si
982,2016,Tarapacá,1,"Centro de Tecnología del Agua de Iquique (CENTA)-Programa de Innovación y Transferencia de Tecnologías Ambientalmente Sostenibles a través de Centro Demostrativo, Escuela de Oficios Itinerante y Diplomado en Energía Solar   (30434584-0)",CENTRO I+D,Centro de Investigación Privado,Centa Chile,71005,144750,si
992,2015,Tarapacá,1,"Centro de Tecnología del Agua de Iquique (CENTA)-Programa de Innovación y Transferencia de Tecnologías Ambientalmente Sostenibles a través de Centro Demostrativo, Escuela de Oficios Itinerante y Diplomado en Energía Solar   (30434584-0)              ",CENTRO I+D,Centro de Investigación Privado,Centa Chile,71005,144750,si
