ID_investigadores,Nombre,A1,A2,N_pub_autor_principal,N_pub_total,Ratio,Proyecto,género,ofos,fos,fos_rec,tipo_inv,area WOS1,area WOS2,area WOS3,area WOS4,area WOS5,area WOS6,institución_trabaja,,,,,
56126420200,Luis,Gurovich,Rosenberg,1,6,"16,7",,M,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticulture,Biology,Chemistry,,,Pontificia Universidad Católica de Chile,,,,,
7102842636,Maisa,Rojas,,2,6,"33,3",,F,4,Ciencias Naturales,1,I1,Physics, Astronomy,Physics, Astronomy,,,Universidad de Chile,,,,,
23108528000,Manuel,Casanova,Pinto,1,6,"16,7",,M,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticulture,--,,,,Universidad de Chile,,,,,
55180707000,Pablo,García,Chevesich,1,6,"16,7",,M,4,Ciencias Naturales,1,I1,Hydrology,Forestry and Wood Industry,Biology,,,,Universidad de Chile,,,,,
6701404949,René,Garreaud,,1,6,"16,7",,M,4,Ciencias Naturales,1,I1,Physics, Astronomy,Civil Engineering,Meteorology, Climatology,,Universidad de Chile,,,,,
23020245400,Rodrigo,Zamora,,0,6,"0,0",,M,3,Ingeniería y tecnología,2,I1,Electrical Engineering, Electronics, Information Engineering,,,,Centro de Estudios Científicos,,,,,
24759068600,Shelley,MacDonell,,4,6,"66,7",,F,4,Ciencias Naturales,1,I1,Human Geography, Regional Geography, Regional Planning,Human Geography, Regional Geography, Regional Planning,Centro de Estudios Avanzados en Zonas Áridas,,,,,
55949206400,Alberto,Araneda,Castillo,0,5,"0,0",,M,4,Ciencias Naturales,1,I1,Environmental Engineering,,,,,,Universidad de Concepción,,,,,
7004890330,Claudio,Zaror,Zaror,0,5,"0,0",,M,3,Ingeniería y tecnología,2,I1,Chemical Process Engineering,Chemical Process Engineering,,,,,Universidad de Concepción,,,,,
55793416500,Eric,Sproles,,1,5,"20,0",,M,4,Ciencias Naturales,1,I1,Human Geography, Regional Geography, Regional Planning,Arts,Hydrology,,Centro de Estudios Avanzados en Zonas Áridas,,,,,
55454169300,Francisco,Balocchi,,1,5,"20,0",,M,1,Ciencias agrícolas,4,I1,Forestry and Wood Industry,,,,,,Universidad de Talca,,,,,
26326508000,Guido,Soto,,0,5,"0,0",,M,1,Ciencias agrícolas,4,I1,Forestry and Wood Industry,,,,,,Centro del Agua para Zonas Áridas de América Latina y el Caribe,,,,,
7005419979,Jaime,Tapia,Sanhueza,1,5,"20,0",,M,4,Ciencias Naturales,1,I1,Chemistry,Chemistry,,,,,Universidad de Talca,,,,,
18633455900,José,Dörner,,2,5,"40,0",,M,1,Ciencias agrícolas,4,I1,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,,,Universidad Austral de Chile,,,,,
57191590940,José,Vargas,Baecheler,1,5,"20,0",,M,3,Ingeniería y tecnología,2,I1,Civil Engineering,Environmental Engineering,,,,,Universidad de Concepción,,,,,
23027025700,Linda,Daniele,,3,5,"60,0",,F,4,Ciencias Naturales,1,I1,Environmental Engineering,Geology, Mineralogy,Hydrology,,,Universidad de Chile,,,,,
8571960500,Marcelo,Miranda,Salas,0,5,"0,0",,M,1,Ciencias agrícolas,4,I1,Forestry and Wood Industry,Forestry and Wood Industry,Forestry and Wood Industry,,,,Pontificia Universidad Católica de Chile,,,,,
35180254000,Matías,Peredo,Parada,1,5,"20,0",,M,3,Ingeniería y tecnología,2,I1,Hydrology,Civil Engineering,Civil Engineering,,,,Universidad de Santiago de Chile,,,,,
56152457400,Óscar,Melo,Contreras,1,5,"20,0",,M,2,Ciencias sociales,5,I1,Economics,Cultivation of Land, Horticulture,Economics,,,Pontificia Universidad Católica de Chile,,,,,
55889906400,Rodrigo,Abarca,Del Río,0,5,"0,0",,M,3,Ingeniería y tecnología,2,I1,Electrical Engineering, Electronics, Information Engineering,Physics, Astronomy,Physics,Universidad de Concepción,,,,,
55452784000,Carlos,Vallejos,Carrera,,4,"0,0",,M,1,Ciencias agrícolas,4,I2,Forestry and Wood Industry,,,,,,Universidad de Talca,,,,,
