ID_investigadores,nombrecompleto,carrera_rec,categoria_grado,institucion_estudio,institucion_estudio_rec,pais_rec,especializacion,ofos1_rec,ambito_trabajo,institucion_trabaja,institucion_trabaja_rec,cargo,unidad1,unidad2,ciudad_trabaja,ciudad_trabaja_rec,region_trabaja,numero_publicaciones,numero_publicaciones_wos,Citaciones,impacto_autor,ofos_1
23007915900,Mauricio Aguayo Arias,"Ingeniero Forestal,Doctor en Ciencias Ambientales","1,4","Universidad de Concepción,Universidad de Concepción","127,127","ch,ch","Forestry and Wood Industry,Environmental Engineering","1,3",1,Universidad de Concepción,127,Coordinador de Proyectos,Centro de Ciencias Ambientales EULA-Chile,Unidad de Planificación Territorial y Sistemas Urbanos,Concepción,7,8,3,3,40,5.45,4
23020245400,Rodrigo Zamora,Ingeniero Civil Electrónico,1,Universidad Técnica Federico Santa María,240,ch,"Electrical Engineering, Electronics, Information Engineering",3,1,Centro de Estudios Científicos,823729,Asistente de investigación,Laboratorio de Glaciología,#s.i.,Valdivia,17,10,6,6,15,16.51,
23027025700,Linda Daniele,"Máster en Aguas Subterráneas y Medio Ambiente,Geólogo,Doctor en Hidrogeología","3,1,4","Universidad de Almería,Universidad de Nápoles Federico II,Universidad de Almería","114,158,114","es,ita,es","Environmental Engineering,Geology, Mineralogy,Hydrology","3,4,4",1,Universidad de Chile,125,Profesor Asistente ,Facultad de Ciencias Físicas y Matemáticas,Departamento de Geología,Santiago,1,14,5,5,23,12.83,3
23108528000,Manuel Casanova Pinto,"Ingeniero Agrónomo,Máster en Ciencias","1,3","Universidad de Chile,Swedish University of Agricultural Sciences","125,81","ch,sue","Cultivation of Land, Horticulture,--","1,4",1,Universidad de Chile,125,Profesor Asociado,Facultad de Ciencias Agronómicas,Departamento Ingeniería y Suelos,Santiago,1,14,6,4,18,10.23,1
23477798300,Gustavo Lobos Prats,"Ingeniero Agrónomo,Doctor en Ciencias Agrarias","1,4","Universidad de Talca,Universidad de Talca","174,174","ch,ch","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1",1,Universidad de Talca,174,Docente,Facultad de Ciencias Agrarias,Escuela de Agronomía,Talca,5,7,2,0,1,0.3,
23481970600,Alex Godoy Faúndez,"Máster en Ciencias de la Ingeniería, mención Ingeniería Química y Bioprocesos,Biólogo en Bioprocesos,Doctor en Ciencias de la Ingeniería, mención Ingeniería Química y Bioprocesos","3,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","67,67,67","ch,ch,ch","Chemical Process Engineering,Biology,Chemical Process Engineering","3,4,3",1,Universidad del Desarrollo,186,Director,Centro de investigación en Sustentabilidad y Gestión Estratégica de Recursos,#s.i.,Santiago,1,14,2,1,0,1.01,3
23486588100,Marcelo Olivares Alveal,"Máster en Ingeniería Ambiental,Ingeniero Civil,Doctor en Ingeniería Civil Ambiental ","3,1,4","The Johns Hopkins University,Universidad de Chile,University of California","85,125,251","usa,ch,usa","Environmental Engineering,Civil Engineering,Environmental Engineering","3,3,3",1,Universidad de Chile,125,Profesor,Facultad de Ciencias Físicas y Matemáticas,Departamento de Ingeniería Civil,Santiago,1,14,4,4,49,11.25,3
23493009900,Christian Little,"Máster en Ciencias Forestales,Ingeniero Forestal,Doctor en Ciencias Forestales","3,1,4","Universidad Austral de Chile,Universidad Austral de Chile,Universidad Austral de Chile","94,94,94","ch,ch,ch","Forestry and Wood Industry,Forestry and Wood Industry,Forestry and Wood Industry","1,1,1",3,Ministerio de Agricultura,483,Investigador encargado,Instituto Forestal,Línea de Investigación Bosque y Agua,Valdivia,17,14,2,2,6,2.71,4
23568919100,Ignacio Vargas,"Ingeniero Civil,Doctor en Ciencias de la Ingeniería","1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile","67,67","ch,ch","Civil Engineering,--","3,3",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Escuela de Ingeniería,Departamento de Ingeniería Hidráulica y Ambiental ,Santiago,1,14,3,3,27,14.63,4
23968182900,Carlos Moffat,Doctor en Oceonografía Física,4,Massachusetts Institute of Technology,52,usa,"Physics, Astronomy",4,1,Universidad de Concepción,127,Profesor Asistente ,Facultad de Ciencias Ambientales y Oceanográficas,Departamento de Oceanografía,Concepción,7,8,3,3,27,16.01,4
23989626900,Héctor  Valdés Gómez,"Máster en Horticultura,Ingeniero Agrónomo,Doctor en Agronomía","3,1,4","Universidad de Talca,Universidad de Talca,Montpellier SupAgro","174,174,57","ch,ch,fr","Cultivation of Land, Horticulture,Cultivation of Land, Horticulture,Cultivation of Land, Horticulture","1,1,1",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Facultad de Agronomía e Ingeniería Forestal,Departamento de Fruticultura y Enología,Santiago,1,14,3,1,6,4.12,
24178530600,Tatiana Izquierdo,"Máster en Ciencia y Tecnología Ambiental,Licenciada en Ciencias Ambientales,Doctor en Hidrología y Gestión de Recursos Hídricos","3,1,4","Universidad Rey Juan Carlos,Universidad Rey Juan Carlos,Universidad Rey Juan Carlos","229,229,229","es,es,es","Environmental Engineering,Environmental Engineering,Hydrology","3,3,4",1,Universidad de Atacama,118,Investigador,Facultad de Ingeniería,Departamento de Geología,Copiapó,18,3,3,3,12,8.73,4
24333032400,Osvaldo Salazar,"Máster en Ciencias del Suelo,Ingeniero Agrónomo,Doctor en Ciencias del Suelo","3,1,4","Swedish University of Agricultural Sciences,Universidad de Chile,Swedish University of Agricultural Sciences","81,125,81","sue,ch,sue","Forestry and Wood Industry,Cultivation of Land, Horticulture,Forestry and Wood Industry","1,1,1",1,Universidad de Chile,125,Profesor Titular,Facultad de Ciencias Agronómicas,Departamento de Ingeniería y Suelos,Santiago,1,14,10,7,33,18.13,4
24351562900,Víctor García de Cortázar,"Ingeniero Agrónomo,Doctor en Ingeniería","1,4","Universidad de Chile,Universidad de París XI","125,162","ch,fr","Cultivation of Land, Horticulture,--","1,3",1,Universidad de Chile,125,Profesor Asociado,Facultad de Ciencias Agronómicas,Departamento de Ingeniería y Suelos,Santiago,1,14,1,0,1,0.15,1
24385545900,Hernán Alcayaga Saldías,"Licenciado en Ciencias de la Tierra,Ingeniero Civil,Doctor en Ciencias de la Tierra, del Universo y del Medio Ambiente, mención Hidrología","1,1,4","Universidad de Concepción,Universidad de Concepción,",#N/A,"ch, ch","Soil science,Civil Engineering,Hydrology","1,3,4",1,Universidad Diego Portales,190,"Profesor, Investigador",Facultad de Ingeniería,Escuela de Ingeniería en Obras Civiles,Santiago,1,14,4,2,21,3.83,4
24449917300,Jorge Gironás León,"Máster en Ciencias,Ingeniero Civil,Doctor en Ciencias hidrológicas y recursos hídricos","3,1,4","Pontificia Universidad Católica de Chile,Pontificia Universidad Católica de Chile,Colorado State University","67,67,15","ch,ch,usa","--,Civil Engineering,Hydrology","4,3,4",1,Pontificia Universidad Católica de Chile,67,Profesor Asociado,Facultad de Ingeniería,Escuela de Ingeniería,Santiago,1,14,13,11,27,22.24,
24537307800,Alexandra Jacquin,"Ingeniero Civil,Doctor en Ingeniería Civil","1,4","Universidad Técnica Federico Santa María,University of Birmingham","240,248","ch,uk","Civil Engineering,Civil Engineering","3,3",1,Pontificia Universidad Católica de Valparaíso,69,"Profesor, Investigador",Facultad de Ingeniería,Escuela de Ingenieria Civil,Valparaíso,6,5,1,1,6,3.48,4
24568403500,Guillermo Donoso Harris,"Ingeniero Agrónomo,Doctor en Agricultura y Recursos Económicos","1,4","Pontificia Universidad Católica de Chile,University of Maryland","67,269","ch,usa","Cultivation of Land, Horticulture,Economics","1,2",1,Pontificia Universidad Católica de Chile,67,Profesor Titular,Facultad de Agronomía e Ingeniería Forestal,Departamento de Economía Agraria,Santiago,1,14,6,3,4,4.06,4
