codigo_proyecto,institucion financiante,programa,Instrumento,anio,nombre_proyecto,estado,Investigador,tipo_participación,institucion ejecutora,id institucion,tipo_participacion,region(es)_ejecución,region(es)_ejecución_rec,Taxonomia FIA,Taxonomia Cameron,Taxonomia_CORFO,Taxonomia Sector Aplicacion (propia),objetivos,objetivos_especificos
16PIUK-57404,CORFO,INNOVACION EMPRESARIAL,PROTOTIPOS DE INNOVACION CORFO - INNOVA UK,2016,MANEJO DEL AGUA Y LA ENERGIA PARA EL DESARROLLO SUSTENTABLE A TRAVES DE LA OPTIMIZACION DEL SISTEMA DE BOMBEO POR TUBERIA ( ANGLO AMERICAN-LOS BRONCES),,,,Anglo American Chile,521,BENEFICIARIA / DESARROLLADOR,,,,,,6,,
16PRAE-57751,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,RAI - RAÍZ ARTIFICIAL INTELIGENTE,,,,CODESSER Corporación de Desarrollo Social del Sector Rural  ,934,ASOCIADO,,,,,,2,,
16PRAE-57751,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,RAI - RAÍZ ARTIFICIAL INTELIGENTE,,,,Hugo Nicolás Riveros Araya,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
16PRAE-61103,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,AQUADATA SISTEMA DE MONITOREO DE ESTADOS EN PLANTAS DE TRATAMIENTO DE AGUAS SERVIDAS.,,,,Compañía Agropecuaria Copeval S.A.  ,942,PATROCINADOR / ENTIDAD ASESORA,,,,,,5,,
16PRAE-61103,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,AQUADATA SISTEMA DE MONITOREO DE ESTADOS EN PLANTAS DE TRATAMIENTO DE AGUAS SERVIDAS.,,,,Ecoglobal E.I.R.L.,1311,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
16PRAE-61103,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,AQUADATA SISTEMA DE MONITOREO DE ESTADOS EN PLANTAS DE TRATAMIENTO DE AGUAS SERVIDAS.,,,,UNIVERSIDAD AUTÓNOMA DE CHILE,97,PATROCINADOR / ENTIDAD ASESORA,,,,,,5,,
16PRAE-61383,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,HUELLA HOTELERA  - (APP MÓVIL PARA HOTELES CUYO FIN ES BAJAR COSTOS DE AGUA Y ENERGÍA).,,,,Camara de comercio industrias servicio y turismo de Chile ,7870,(SIN DEFINIR),,,,,,5,,
16PRAE-61383,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,HUELLA HOTELERA  - (APP MÓVIL PARA HOTELES CUYO FIN ES BAJAR COSTOS DE AGUA Y ENERGÍA).,,,,EEA Ltda,7966,BENEFICIARIA / DESARROLLADOR,,,,,,5,,
16PRAE-61383,CORFO,EMPRENDIMIENTO,PRAE VALPARAISO 2016,2016,HUELLA HOTELERA  - (APP MÓVIL PARA HOTELES CUYO FIN ES BAJAR COSTOS DE AGUA Y ENERGÍA).,,,,Camara de comercio industrias servicio y turismo de Chile ,7870,PATROCINADOR / ENTIDAD ASESORA,,,,,,5,,
16SUP-59176,CORFO,EMPRENDIMIENTO,STARTUP (E),2016,LIVN SMART IRRIGATION SERVICES,,,,JUAN PABLO HURTADO CAMPO-MARTINEZ,Persona Natural,BENEFICIARIA / DESARROLLADOR,,,,,,2,,
